name;des;type;source;my_opinion
wall_graffiti_max;???;real;wall;-1
wall_graffiti_mean;???;real;wall;-1
wall_graffiti_median;???;real;wall;-1
wall_like_cnt;всего лайков на стене ;cnt;wall;1
wall_like_max;максимально лайков под постом;real;wall;1
wall_like_mean;в среднем лайков под постом ;real;wall;1
wall_like_median;медианно лайков под постом;real;wall;1
wall_link_cnt;всего ссылок на сторонние сайты на стене;cnt;wall;1
wall_link_max;???;real;wall;-1
wall_link_mean;???;real;wall;-1
wall_link_median;???;real;wall;-1
wall_market_album_cnt;всего подборок товаров на стене;cnt;wall;-1
wall_market_album_max;???;real;wall;-1
wall_market_album_mean;???;real;wall;-1
wall_market_album_median;???;real;wall;-1
wall_market_cnt;всего торговых предложений ;cnt;wall;-1
wall_market_max;???;real;wall;-1
wall_market_mean;???;real;wall;-1
wall_market_median;???;real;wall;-1
wall_month_mean;в среднем за месяц постов;real;wall;1
wall_note_cnt;всего заметок на стене;cnt;wall;-1
wall_note_max;???;real;wall;-1
wall_note_mean;???;real;wall;-1
wall_note_median;???;real;wall;-1
wall_page_cnt;всего вики-страниц на стене;cnt;wall;-1
wall_page_max;???;real;wall;-1
wall_page_mean;???;real;wall;-1
wall_page_median;???;real;wall;-1
wall_photo_cnt;всего фоток на стене;cnt;wall;1
wall_photo_max;максимально фоток в посте ;real;wall;1
wall_photo_mean;в среднем фоток в посте ;real;wall;1
wall_photo_median;медианно фоток в посте ;real;wall;1
wall_photos_list_cnt;???;cnt;wall;-1
wall_photos_list_max;???;real;wall;-1
wall_photos_list_mean;???;real;wall;-1
wall_photos_list_median;???;real;wall;-1
wall_poll_cnt;всего опросов на стене;cnt;wall;1
wall_poll_max;???;real;wall;-1
wall_poll_mean;???;real;wall;-1
wall_poll_median;???;real;wall;-1
wall_post_android_cnt;постов сделано с андроида;cnt;wall;1
wall_post_cnt;всего записей на стене;cnt;wall;1
wall_post_instagram_cnt;постов сделано через instagram;cnt;wall;1
wall_post_ipad_cnt;постов сделано с ipad;cnt;wall;1
wall_post_iphone_cnt;постов сделано с iphone;cnt;wall;1
wall_post_mweb_cnt;постов сделано с мобильной версии сайта;cnt;wall;1
wall_post_original_cnt;всего своих постов;cnt;wall;1
wall_post_other_cnt;всего чужих постов;cnt;wall;1
wall_post_reply_cnt;всего ответов на стене;cnt;wall;-1
wall_post_web_cnt;постов сделано через браузер;cnt;wall;1
wall_post_widget;число записей, созданных в виджете на стороннем сайте ;cnt;wall;-1
