year;prohodnoy;lgota;chelevoe;olimp;dogovor;ochko-zaochka;kurs;zima;leto;akadem;hodit_para;hodit_tusa;ege_diff;kozko;target_1;target_2;target_3;target_4;profile_city_moscow_dummy;profile_city_none_dummy;profile_country_russia_dummy;profile_country_none_dummy;profile_folowers_cnt;profile_male_dummy;profile_has_ava_dummy;profile_wall_comments_dummy;profile_facebook_dummy;profile_instagram_dummy;profile_skype_dummy;profile_twitter_dummy;profile_home_phone_dummy;profile_mobile_phone_dummy;profile_site_dummy;meprofile_can_post_dummy;meprofile_can_see_all_posts_dummy;meprofile_can_see_audio_dummy;meprofile_can_write_private_message_dummy;profile_mutual_friends_cnt;profile_notes_cnt;profile_subscriptions_cnt;profile_friends_cnt;profile_albums_cnt;profile_pages_cnt;profile_audio_cnt;profile_videos_cnt;profile_photos_cnt;profile_bmonth_cat;profile_bday_cat;profile_relation_cat;profile_vuz_ranepa_yes_dummy;profile_vuz_none_dummy;profile_gifts_cnt;profile_moscow_hometown_dummy;profile_econom_yes_dummy;profile_change_city_school_cat;profile_schools_cat;profile_relation_partner_yes_dummy;profile_group_hide_dummy;profile_engl_dummy;profile_lang_cnt;profile_alco_love_cat;profile_smoke_love_cat;profile_life_main_cat;profile_people_main_cat;profile_political_cat;photo_like_mean;photo_repost_cnt;photo_repost_mean;vk_photo_ava_change_cnt;vk_photo_wall_ph_post_cnt;photo_text_len_cnt;vk_photo_text_url_len_cnt;photo_month_mean;wall_album_cnt;wall_album_mean;wall_audio_cnt;wall_audio_mean;wall_can_comment;wall_comment_cnt;wall_comment_max;wall_comment_mean;wall_doc_cnt;wall_doc_mean;wall_emoji_cnt;wall_emoji_mean;wall_graffiti_cnt;wall_like_cnt;wall_like_max;wall_like_mean;wall_link_cnt;wall_link_max;wall_link_mean;wall_note_cnt;wall_note_mean;wall_page_cnt;wall_page_max;wall_page_mean;wall_photo_max;wall_photo_mean;wall_photos_list_cnt;wall_photos_list_mean;wall_poll_cnt;wall_poll_mean;wall_post_android_cnt;wall_post_cnt;wall_post_instagram_cnt;wall_post_ipad_cnt;wall_post_iphone_cnt;wall_post_mweb_cnt;wall_post_original_cnt;wall_post_widget;wall_post_wphone_cnt;wall_posted_photo_cnt;wall_repost_cnt;wall_repost_mean;wall_slowpok_hour_max;wall_text_len_max;wall_text_len_mean;wall_video_cnt;wall_video_mean;20pub_clust_0;20pub_clust_1;20pub_clust_2;20pub_clust_3;20pub_clust_4;20pub_clust_5;20pub_clust_6;20pub_clust_7;20pub_clust_8;20pub_clust_9;20pub_clust_10;20pub_clust_11;20pub_clust_12;20pub_clust_13;20pub_clust_14;20pub_clust_15;20pub_clust_16;20pub_clust_17;20pub_clust_18;20pub_clust_19;30pub_clust_0;30pub_clust_1;30pub_clust_2;30pub_clust_3;30pub_clust_4;30pub_clust_5;30pub_clust_6;30pub_clust_7;30pub_clust_8;30pub_clust_9;30pub_clust_10;30pub_clust_11;30pub_clust_12;30pub_clust_13;30pub_clust_14;30pub_clust_15;30pub_clust_16;30pub_clust_17;30pub_clust_18;30pub_clust_19;30pub_clust_20;30pub_clust_21;30pub_clust_22;30pub_clust_23;30pub_clust_24;30pub_clust_25;30pub_clust_26;30pub_clust_27;30pub_clust_28;30pub_clust_29;pub_likes_cnt
2012;247;0;0.0;1;0;0;5.0;0;0;0;2.6666666666666665;3.3333333333333335;-44.0;0;1.0;1.0;1.0;1.0;1;0;1;0;141.0;1;1;1.0;0;1;0;0;0;1;0;1;1.0;0.0;1;41.0;0.0;6.0;121.0;2.0;100.0;0.0;0.0;0.0;5.0;13.0;не указано;1;0;0.0;0;0;;;0;157.0;0;0.0;;;;;;18.5454545455;0.0;0.0;4.0;7.0;57.0;6.0;1.57142857143;0.0;0.0;2.0;0.133333333333;1.0;3.0;3.0;0.2;0.0;0.0;0.0;0.0;0.0;115.0;25.0;7.666666666669999;4.0;1.0;0.266666666667;0.0;0.0;0.0;0.0;0.0;1.0;0.33333333333299997;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.133333333333;9.073055555560002;1193.0;203.33333333299998;3.0;0.2;0.053495356550087365;0.0055142823415149;0.02761235640874817;0.03867574911376028;0.013499314482478104;0.0010207189411980953;0.2976007425525224;0.08033012022307065;0.009178610385637798;0.0022043601322210607;0.026159988169538108;0.029890794995645814;0.14336749316513686;0.03302453508076667;0.0015549721717331964;0.046300341786742034;0.0023849765498382388;0.03489145316668505;0.0760270583141988;0.07726677546847642;0.059585206145585275;0.004297974062577799;0.011716523382267422;0.018341055371659656;0.010956294954357591;0.002515954315209365;0.14571923896050268;0.20132429401725355;0.010577391608257198;0.006580686991069768;0.0278234145933139;0.0014562947202893036;0.08506730756364693;0.045411773007069986;0.031722070715320634;0.002783528802290843;0.002082534789266922;0.020755067748603598;0.07358656278773466;0.005399696425205123;0.0022201778195502487;0.002063675479477881;0.02963645349095988;0.0014059704409998745;0.0021747033469289123;0.09210428887348553;0.009421745757223574;0.005366837201559931;0.08721616316729455;0.0006871134610374225;16.0
2012;247;0;0.0;1;0;0;5.0;0;0;0;3.6666666666666665;3.3333333333333335;8.0;0;1.0;1.0;1.0;1.0;1;0;1;0;173.0;0;1;1.0;0;0;0;0;0;1;0;0;0.0;0.0;1;26.0;3.0;1.0;112.0;0.0;76.0;0.0;32.0;0.0;9.0;29.0;не указано;1;0;0.0;0;1;2.0;3.0;0;0.0;1;3.0;;;;;;19.6463414634;2.0;0.0243902439024;52.0;30.0;0.0;0.0;6.833333333330001;0.0;0.0;14.0;0.736842105263;1.0;13.0;4.0;0.6842105263160001;0.0;0.0;2.0;0.105263157895;0.0;56.0;11.0;2.94736842105;1.0;1.0;0.052631578947400004;0.0;0.0;0.0;0.0;0.0;7.0;1.68421052632;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;1.0;0.052631578947400004;19.611111111099998;230.0;51.368421052600006;1.0;0.052631578947400004;0.056295433946551225;0.001777648930615171;0.0972237437363116;0.02724334827501872;0.09130293450595887;0.015450556015286275;0.06549368188892264;0.05539118693444799;0.04450969194542921;0.005644768895998232;0.05437051471666116;0.046232657864333435;0.07535393619236726;0.09428195801996993;0.0243510691038149;0.03137724873272756;0.01112581974320156;0.1280424006675433;0.04748052786587497;0.027050872018965985;0.08988291635773879;0.006346302720450363;0.05183209955329923;0.021843206782897643;0.08395000704573395;0.00871778048490858;0.042555787023294434;0.04601236627334783;0.04821633295590592;0.01810434373383213;0.03919561135177969;0.005082456090826228;0.03613559086592978;0.12677135730503156;0.06445821560768353;0.007709338296909925;0.01124960920769858;0.055903179463171374;0.05898564877920559;0.0024297075038898;0.011425251887345285;0.03411321923537761;0.04006099072434072;0.007422215654844019;0.0019801837323426795;0.02033589920780933;0.005578763631461797;0.006944535662727515;0.046307498342485015;0.00044958451773114045;3.0
2012;247;0;0.0;1;0;0;5.0;0;0;0;3.6666666666666665;3.3333333333333335;2.0;0;1.0;1.0;1.0;1.0;1;0;1;0;136.0;0;1;1.0;0;0;0;0;0;0;0;1;1.0;1.0;1;59.0;0.0;1.0;373.0;5.0;102.0;851.0;84.0;87.0;9.0;7.0;есть друг/есть подруга;0;0;27.0;0;0;1.0;1.0;1;258.0;0;0.0;;;;;;8.20728929385;10.0;0.022779043280199997;29.0;246.0;0.0;1.0;36.5833333333;0.0;0.0;250.0;0.22143489814;1.0;1474.0;25.0;1.3055801594299998;3.0;0.00265721877768;216.0;0.191319751993;11.0;4316.0;105.0;3.8228520814899998;56.0;1.0;0.0496014171833;1.0;0.0008857395925599998;3.0;1.0;0.00265721877768;10.0;0.552701505757;3.0;0.00265721877768;2.0;0.0017714791851199997;13.0;1129.0;10.0;3.0;15.0;8.0;0.0;6.0;1.0;0.0;119.0;0.10540301151499999;23.9416666667;11919.0;154.10008857399998;80.0;0.0708591674048;0.17242996289831392;0.0015657276656545367;0.0583310133226858;0.0205553837534266;0.02411367674939461;0.006592084902771503;0.1548664605390266;0.022355031641442303;0.022059166504430124;0.008609237140691723;0.0185113930484695;0.06671118688841378;0.10695413665233676;0.0964296185425028;0.002388606868450304;0.026324340653819042;0.002383638481271093;0.11780059007747888;0.05199054994626478;0.01902819372315536;0.16198111225021056;0.0010207926036574877;0.01924841909764809;0.010129642800257348;0.020074432339843032;0.002489114437091691;0.07129207825841911;0.04996227518543619;0.020500253335688272;0.0414358829266788;0.01567809480548775;0.028980263071033224;0.07342972486412312;0.11515320278565078;0.019847724110060267;0.012851540209513007;0.006980585848116258;0.0465511244470492;0.04978854808712928;0.0008460478121341935;0.004333359129078704;0.02424945559817781;0.03723640408967128;0.001081838954110912;0.004106242774144902;0.09214285989422136;0.00655947763706424;0.01894397254960728;0.04310553009869583;0.0;66.0
2012;247;1;0.0;0;0;0;1.0;0;1;0;3.3333333333333335;1.6666666666666667;-5.0;0;0.0;;;;0;1;1;0;119.0;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;5.0;0.0;0.0;166.0;0.0;16.0;0.0;11.0;0.0;4.0;8.0;не указано;0;1;37.0;0;0;;;0;35.0;0;0.0;;;;;;20.4761904762;1.0;0.047619047619;20.0;1.0;0.0;0.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.14285714285700002;0.0;0.0;0.0;37.0;8.0;5.28571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;2.1428571428599996;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.15611111111;47.0;17.8571428571;0.0;0.0;0.0584581221516052;0.0008893022673633481;0.0929878981984745;0.009219128578906369;0.028993032453148538;0.004161492749559904;0.15766252175010734;0.09551992155211644;0.005872727411187567;0.02736801860603897;0.018863505285979642;0.04488996318522767;0.08183669891801601;0.1184230072763895;0.0;0.009678150117349009;0.0060304700870848745;0.18226847377687805;0.020743384619079545;0.036134181015487515;0.06522226710019789;0.0;0.05248265667779664;0.002201900809814404;0.002406694528653179;0.002817897581145915;0.033532213714477614;0.05523752244815308;0.048415320723489016;0.026269240686590596;0.029014029173702306;0.013301395349168998;0.05077682172044594;0.15557059070769347;0.13295163070555166;0.009519806003241251;0.0027211401115236266;0.06484989354237615;0.033936111469677295;0.0;0.004475614520461834;0.01566675241875179;0.014765218862267684;0.0;0.0;0.10734050183309264;0.001523199821116974;0.04370444004676752;0.013388049698207574;0.017909089745634987;0.0
2012;247;1;0.0;0;0;0;2.0;1;0;1;3.6666666666666665;1.6666666666666667;-44.0;0;1.0;0.0;;;0;0;1;0;0.0;0;0;1.0;0;0;0;0;0;1;0;1;1.0;0.0;1;1.0;7.0;0.0;39.0;1.0;28.0;0.0;28.0;0.0;12.0;4.0;не указано;0;1;0.0;0;0;;;0;0.0;0;0.0;;;;;;6.954545454550001;0.0;0.0;0.0;0.0;0.0;0.0;2.44444444444;0.0;0.0;8.0;0.4;1.0;4.0;4.0;0.2;0.0;0.0;5.0;0.25;0.0;39.0;6.0;1.95;3.0;1.0;0.15;0.0;0.0;0.0;0.0;0.0;10.0;2.6;0.0;0.0;0.0;0.0;8.0;20.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;3.0;0.15;19485;10139.0;1160.6;4.0;0.2;0.08696745288714823;0.004416072278480682;0.102854446330031;0.0430682858430451;0.07882843779878608;0.0036147512968621783;0.04830135090336765;0.015560316408779374;0.09811320726676948;0.008292849420049644;0.012277124387996026;0.010793695435914092;0.07079418124734935;0.05716314708499495;0.02023324142974911;0.029417217326508413;0.0050713390027988005;0.21965019955565251;0.02719961953270356;0.05738306456301377;0.14008662524295;0.010515487022374646;0.006867387883025256;0.03274623112742636;0.07152640997462778;0.0006298576589730997;0.022761786354459992;0.02126039473451213;0.1244151335898227;0.02178531678014511;0.0063611373353179386;0.00445868929589876;0.05343711603288678;0.11737194744731486;0.020233285558904197;0.005616514830399255;0.023452866218515583;0.12471156440265273;0.023796104065716663;0.009761224639532577;0.02311613129680223;0.017459158234071168;0.011461196632507423;0.0006298576589730997;0.0006298576589730997;0.004789610324951703;0.01766359501657194;0.021905193709762155;0.05992046161295767;0.0006298576589730997;14.0
2012;247;1;0.0;0;0;0;2.0;1;0;1;2.6666666666666665;1.6666666666666667;-53.0;0;1.0;0.0;;;1;0;1;0;63.0;1;1;1.0;0;0;1;0;0;1;0;1;1.0;0.0;1;11.0;1.0;1.0;174.0;9.0;8.0;0.0;73.0;0.0;12.0;10.0;не указано;0;1;0.0;0;0;;;0;0.0;0;0.0;;;;;;1.8018433179700002;5.0;0.0115207373272;24.0;187.0;0.0;2.0;36.1666666667;0.0;0.0;378.0;0.33659839715000006;1.0;176.0;6.0;0.156723063224;24.0;0.021371326803200003;163.0;0.145146927872;8.0;1184.0;81.0;1.05431878896;52.0;1.0;0.0463045414069;0.0;0.0;2.0;1.0;0.00178094390027;10.0;0.430988423865;1.0;0.0008904719501339999;1.0;0.0008904719501339999;80.0;1123.0;130.0;0.0;21.0;8.0;0.0;1.0;61.0;1.0;35.0;0.0311665182547;23.774722222199998;3802.0;87.6037399822;45.0;0.040071237756;0.20064149999558611;0.0;0.052090225882041576;0.04514661919453385;0.0;0.0;0.04254218642229528;0.0;0.05706075654985125;0.008923820300531345;0.0;0.03317695272087015;0.07697521217346824;0.0904233776886984;0.0;0.09171960775040386;0.001280769007930267;0.2040910730053939;0.0231555181303233;0.07277238117807246;0.2056325354389716;0.004631425327536355;0.00550010942913762;0.04982752362694175;0.0;0.0;0.0;0.07383964410649749;0.05831901217178447;0.02573967699085843;0.0;0.02521217370799634;0.0412904768082476;0.10942352485093623;0.0;0.011451689835744707;0.003115440917030476;0.16899443619427093;0.02315472704697076;0.0;0.0016970184328892056;0.0;0.0221951870395435;0.0;0.0;0.03107851194121044;0.006224493278940004;0.017723031234757176;0.11494936161973494;0.0;5.0
2012;247;1;0.0;0;0;0;2.0;0;1;0;1.3333333333333333;1.6666666666666667;-68.0;0;1.0;0.0;;;0;1;0;1;87.0;1;1;1.0;0;0;0;0;0;0;0;0;0.0;0.0;1;6.0;0.0;0.0;156.0;0.0;12.0;0.0;0.0;0.0;;;не указано;0;1;16.0;0;0;;;0;0.0;0;0.0;;;;;;22.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05706864805138789;0.0;0.0608318143086328;0.04669763647613459;0.0237024629078666;0.0;0.05036476716009482;0.0;0.10794061050086833;0.0018480473234803692;0.038261481592700326;0.06488268676439002;0.18750121306361528;0.1597624304755341;0.0;0.011789247854511213;0.01900557361282352;0.09128822698696852;0.03822276471391988;0.04083238820707179;0.0912985407038608;0.0;0.017540560478793096;0.027401971051731453;0.02014079172179845;0.0;0.031621368620944806;0.04043429629351303;0.11978275452029312;0.00579168998081799;0.02129655717539501;0.014516737363133615;0.15142529304599953;0.17614434196206122;0.0;0.015620010551066012;0.02361181969119398;0.04374781164018058;0.044976165925168426;0.0;0.015085305159873271;0.01270125946114215;0.048317589838212674;0.0016404908389212936;0.001464363084433977;0.015423827231415502;0.020531835356495186;0.011936827910312316;0.021943886816584476;0.005603903576658057;1.0
2012;247;1;0.0;0;0;0;1.0;1;0;0;1.6666666666666667;1.6666666666666667;-28.0;0;0.0;;;;0;0;1;0;0.0;1;1;1.0;0;0;0;0;0;0;0;0;0.0;1.0;0;1.0;0.0;0.0;148.0;0.0;23.0;610.0;444.0;0.0;3.0;2.0;не указано;0;1;0.0;0;0;;;0;0.0;0;0.0;;;;;;9.15384615385;0.0;0.0;11.0;2.0;0.0;0.0;1.8571428571400002;0.0;0.0;6.0;0.46153846153800004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;29.0;7.0;1.0;1.0;0.0769230769231;0.0;0.0;0.0;0.0;0.0;6.0;0.846153846154;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;14.0;1.07692307692;22.7208333333;3124.0;311.846153846;1.0;0.0769230769231;0.03951557596951253;0.00336750491250901;0.05738181636257344;0.016431410144185796;0.007353068794265786;0.002212720371929708;0.01661660146086926;0.005361780860564432;0.02395721611502875;0.013825424458575323;0.2669000088398701;0.0777765657901519;0.07731080916605318;0.09920070615204384;0.002212720371929708;0.0662458284542954;0.004292255829785193;0.1298275253736802;0.035639898749379915;0.05457056182279653;0.062453561613624475;0.006902043132080471;0.0326051822765073;0.009381285701348774;0.004465793293959418;0.00978688461294515;0.00921937410148661;0.023038860161973672;0.018555009416064614;0.016590202882264912;0.2547835066176823;0.006733037309333496;0.04922337825114282;0.16359499819421536;0.006534571744969679;0.012890012410717416;0.0031481845496973805;0.062385911488160174;0.027631484383537127;0.0014860134172726693;0.007285440648496703;0.007558510269410555;0.06984302117853759;0.0014860134172726693;0.0014860134172726693;0.0025792485755758237;0.0521480181779061;0.0014860134172726693;0.07323241192199875;0.0014860134172726693;1.0
2012;247;0;0.0;0;0;0;3.0;0;1;1;2.0;3.3333333333333335;29.0;0;1.0;1.0;0.0;;0;0;1;0;38.0;1;1;1.0;0;0;1;0;0;0;1;0;0.0;1.0;1;8.0;35.0;3.0;59.0;9.0;46.0;454.0;174.0;0.0;4.0;15.0;не указано;0;1;3.0;0;0;;;0;0.0;0;0.0;;;;;;0.9581395348839999;0.0;0.0;11.0;36.0;0.0;1.0;21.5;0.0;0.0;9.0;0.0445544554455;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0594059405941;1.0;480.0;28.0;2.37623762376;51.0;1.0;0.252475247525;16.0;0.07920792079210001;0.0;0.0;0.0;10.0;0.376237623762;1.0;0.0049504950495;2.0;0.00990099009901;3.0;202.0;0.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;16.0;0.07920792079210001;22.912777777800002;3990.0;259.56435643599997;16.0;0.07920792079210001;0.09619212356949727;0.00569546510117865;0.038647589939295485;0.02571788697092054;0.014843105727562703;0.005072418422090232;0.07067498315911994;0.0501529294629068;0.036275583471299486;0.013462741117261548;0.07783753807154846;0.043521643955245715;0.14748250826494472;0.103323755254585;0.006690384050335957;0.04694082076253925;0.005574546459520296;0.13897192968304073;0.05219297321044752;0.020729073346659698;0.09521504702656104;0.004774266331145093;0.008184904935299548;0.014844017219409478;0.0037097409838351327;0.002991701981419262;0.0239065289648454;0.046337373099259886;0.04880418514139676;0.018057852746708344;0.06901765198360091;0.006608079111437447;0.09641222159787656;0.12117735886284127;0.048274802077554926;0.01926450744201582;0.0038540399416616463;0.08667708144721901;0.04801525540991077;0.004163507341051278;0.011212735324371377;0.013054566476889252;0.032703391885694176;0.003461317722414872;0.002991701981419262;0.0618878661835863;0.02446171069042223;0.00937379871242729;0.06757108539630638;0.002991701981419262;0.0
2012;247;0;0.0;0;0;0;1.0;0;1;0;3.3333333333333335;1.6666666666666667;27.0;0;0.0;;;;1;0;1;0;193.0;0;1;1.0;0;0;0;0;0;0;0;1;1.0;0.0;1;3.0;0.0;0.0;131.0;0.0;49.0;0.0;2.0;0.0;8.0;4.0;не указано;1;0;17.0;1;0;;;0;0.0;0;2.0;;;;;;20.4615384615;0.0;0.0;11.0;2.0;0.0;0.0;2.16666666667;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;9.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0419444444;1228.0;663.5;0.0;0.0;0.06828112212834017;0.0008537715338049949;0.04497651060360406;0.02697157814989053;0.1619286691744699;0.0067290212685586406;0.02185251009005133;0.020783083370045842;0.046736575782638526;0.006292070101340792;0.051630153911725714;0.01271217646815827;0.09963820881981092;0.1625674708281408;0.0028426935217369755;0.05222458943484045;0.019849392424126856;0.17445405326519764;0.017288173759777183;0.0013881753637404145;0.06429768181111245;0.0012998021963975114;0.011312008240181195;0.030425155773326006;0.1535493971187908;0.0017024446727907502;0.002437705262769514;0.0072425316709083904;0.04386597864457927;0.023404933558495083;0.03622577435317883;0.0;0.04814790084489292;0.2505461113766516;0.02402136893237883;0.020466348548973532;0.009624775596121064;0.04286762400970146;0.024888151449618028;0.0002189127039342183;0.013869209016588543;0.0668715591745885;0.00860187072950834;0.006997094826015428;0.0014494791160237432;0.03543797597638484;0.00029755154311072974;0.024608192739486653;0.024659492154355096;0.02066296795913664;1.0
